                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6741,                 3.3571,                 1.3953,                0.63692,                0.70551,                0.67205,                0.34129,                 1.5272,                 2.3106,                 1.4632,                0.00042,                0.00042,                0.00042
                      2,                 1.5251,                 1.4511,                 1.3279,                0.06722,                0.51087,                0.07111,                0.02849,                 1.9137,                 18.415,                 2.0735,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.5593,                 1.3277,                 1.3593,                0.55203,                0.57597,                0.54112,                0.20756,                 2.0743,                  1.844,                 1.8578,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.6457,                 1.3592,                 1.4118,                0.10548,                 0.6413,                 0.0877,                0.03411,                 1.9897,                 16.852,                  1.976,              0.0016883,              0.0016883,              0.0016883
                      5,                  1.596,                 1.3211,                 1.3717,                0.08032,                0.19565,                0.05129,                0.01142,                 2.6235,                 8.7433,                   3.88,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5733,                 1.1941,                 1.3959,                0.62916,                0.31353,                0.27097,                0.11148,                 2.5442,                 4.3068,                  2.729,               0.001901,               0.001901,               0.001901
                      7,                 1.5748,                 1.1554,                 1.4068,                0.28677,                0.30435,                0.17815,                0.08069,                 2.1874,                 5.9792,                 2.0351,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5614,                 1.1327,                 1.3817,                0.56852,                 0.3724,                0.36729,                0.10274,                 2.4074,                 7.8643,                 2.3385,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5333,                 1.1166,                 1.3989,                0.77605,                0.56522,                0.70666,                0.31693,                  1.772,                 1.8877,                 1.7237,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4266,                 1.0448,                 1.3172,                0.63223,                0.67269,                0.67131,                0.32162,                 1.8262,                   1.51,                 1.6937,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5167,                 1.0308,                 1.3291,                0.88537,                0.57609,                0.68247,                0.33204,                  1.872,                 1.5356,                 1.7472,               0.001802,               0.001802,               0.001802
                     12,                 1.5042,                 0.9932,                 1.3206,                 0.7566,                0.61957,                0.72489,                0.34804,                 1.7511,                 1.3643,                 1.5993,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5199,                 1.0423,                 1.3665,                 0.8648,                0.62576,                0.76008,                0.37133,                 1.7645,                 1.2205,                 1.6081,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4202,                0.94025,                 1.3082,                0.90457,                0.68478,                0.85402,                0.42269,                 1.6898,                 1.0984,                 1.5866,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.419,                0.95485,                   1.29,                0.85384,                0.72826,                0.84716,                0.39055,                 1.7673,                 1.1911,                 1.5714,              0.0017228,              0.0017228,              0.0017228
